0.0,-2901074.988,3074584.136,5318445.039
0.1,-2901656.960,3074087.008,5318414.392
0.2,-2902238.895,3073589.842,5318383.677
0.3,-2902820.793,3073092.636,5318352.895
0.4,-2903402.654,3072595.392,5318322.045
0.5,-2903984.479,3072098.108,5318291.128
0.6,-2904566.267,3071600.786,5318260.143
0.7,-2905148.018,3071103.425,5318229.090
0.8,-2905729.732,3070606.024,5318197.970
0.9,-2906311.410,3070108.585,5318166.782
1.0,-2906893.050,3069611.107,5318135.527
1.1,-2907474.654,3069113.590,5318104.204
1.2,-2908056.221,3068616.034,5318072.814
1.3,-2908637.751,3068118.440,5318041.355
1.4,-2909219.244,3067620.806,5318009.830
1.5,-2909800.701,3067123.134,5317978.236
1.6,-2910382.120,3066625.422,5317946.575
1.7,-2910963.503,3066127.672,5317914.847
1.8,-2911544.848,3065629.883,5317883.051
1.9,-2912126.157,3065132.055,5317851.187
2.0,-2912707.429,3064634.188,5317819.256
2.1,-2913288.664,3064136.282,5317787.257
2.2,-2913869.862,3063638.338,5317755.190
2.3,-2914451.023,3063140.355,5317723.056
2.4,-2915032.147,3062642.333,5317690.855
2.5,-2915613.234,3062144.272,5317658.585
2.6,-2916194.284,3061646.172,5317626.249
2.7,-2916775.298,3061148.033,5317593.844
2.8,-2917356.274,3060649.856,5317561.372
2.9,-2917937.213,3060151.640,5317528.833
3.0,-2918518.116,3059653.385,5317496.225
3.1,-2919098.981,3059155.091,5317463.551
3.2,-2919679.809,3058656.759,5317430.808
3.3,-2920260.601,3058158.387,5317397.998
3.4,-2920841.355,3057659.977,5317365.121
3.5,-2921422.072,3057161.528,5317332.175
3.6,-2922002.753,3056663.041,5317299.163
3.7,-2922583.396,3056164.515,5317266.082
3.8,-2923164.002,3055665.950,5317232.935
3.9,-2923744.571,3055167.346,5317199.719
4.0,-2924325.103,3054668.704,5317166.436
4.1,-2924905.598,3054170.022,5317133.085
4.2,-2925486.056,3053671.302,5317099.667
4.3,-2926066.477,3053172.544,5317066.181
4.4,-2926646.861,3052673.747,5317032.628
4.5,-2927227.208,3052174.911,5316999.007
4.6,-2927807.517,3051676.036,5316965.318
4.7,-2928387.790,3051177.123,5316931.562
4.8,-2928968.025,3050678.171,5316897.738
4.9,-2929548.224,3050179.180,5316863.847
5.0,-2930128.385,3049680.151,5316829.888
5.1,-2930708.509,3049181.083,5316795.862
5.2,-2931288.596,3048681.976,5316761.768
5.3,-2931868.645,3048182.831,5316727.606
5.4,-2932448.658,3047683.647,5316693.377
5.5,-2933028.633,3047184.424,5316659.080
5.6,-2933608.571,3046685.163,5316624.716
5.7,-2934188.472,3046185.863,5316590.284
5.8,-2934768.336,3045686.525,5316555.784
5.9,-2935348.163,3045187.148,5316521.217
6.0,-2935927.952,3044687.733,5316486.582
6.1,-2936507.704,3044188.278,5316451.880
6.2,-2937087.419,3043688.786,5316417.110
6.3,-2937667.097,3043189.254,5316382.273
6.4,-2938246.738,3042689.684,5316347.368
6.5,-2938826.341,3042190.076,5316312.395
6.6,-2939405.907,3041690.429,5316277.355
6.7,-2939985.436,3041190.743,5316242.247
6.8,-2940564.927,3040691.019,5316207.072
6.9,-2941144.382,3040191.257,5316171.829
7.0,-2941723.799,3039691.455,5316136.519
7.1,-2942303.178,3039191.616,5316101.141
7.2,-2942882.521,3038691.737,5316065.695
7.3,-2943461.826,3038191.821,5316030.182
7.4,-2944041.094,3037691.865,5315994.601
7.5,-2944620.324,3037191.872,5315958.953
7.6,-2945199.517,3036691.839,5315923.237
7.7,-2945778.673,3036191.769,5315887.454
7.8,-2946357.792,3035691.659,5315851.603
7.9,-2946936.873,3035191.512,5315815.684
8.0,-2947515.917,3034691.326,5315779.698
8.1,-2948094.923,3034191.101,5315743.644
8.2,-2948673.892,3033690.838,5315707.523
8.3,-2949252.824,3033190.536,5315671.334
8.4,-2949831.718,3032690.196,5315635.078
8.5,-2950410.575,3032189.818,5315598.754
8.6,-2950989.395,3031689.401,5315562.362
8.7,-2951568.177,3031188.946,5315525.903
8.8,-2952146.921,3030688.452,5315489.376
8.9,-2952725.629,3030187.920,5315452.782
9.0,-2953304.299,3029687.349,5315416.120
9.1,-2953882.931,3029186.741,5315379.391
9.2,-2954461.526,3028686.093,5315342.594
9.3,-2955040.084,3028185.408,5315305.730
9.4,-2955618.604,3027684.683,5315268.798
9.5,-2956197.087,3027183.921,5315231.798
9.6,-2956775.532,3026683.120,5315194.731
9.7,-2957353.939,3026182.281,5315157.596
9.8,-2957932.310,3025681.403,5315120.394
9.9,-2958510.642,3025180.488,5315083.124
10.0,-2959088.938,3024679.533,5315045.786
10.1,-2959667.195,3024178.541,5315008.381
10.2,-2960245.416,3023677.510,5314970.909
10.3,-2960823.598,3023176.441,5314933.369
10.4,-2961401.743,3022675.333,5314895.761
10.5,-2961979.851,3022174.187,5314858.086
10.6,-2962557.921,3021673.003,5314820.343
10.7,-2963135.954,3021171.781,5314782.533
10.8,-2963713.949,3020670.520,5314744.655
10.9,-2964291.906,3020169.221,5314706.710
11.0,-2964869.826,3019667.884,5314668.697
11.1,-2965447.708,3019166.508,5314630.616
11.2,-2966025.553,3018665.094,5314592.468
11.3,-2966603.360,3018163.642,5314554.252
11.4,-2967181.130,3017662.152,5314515.969
11.5,-2967758.862,3017160.623,5314477.618
11.6,-2968336.556,3016659.056,5314439.200
11.7,-2968914.212,3016157.451,5314400.714
11.8,-2969491.831,3015655.808,5314362.161
11.9,-2970069.413,3015154.126,5314323.540
12.0,-2970646.957,3014652.407,5314284.852
12.1,-2971224.463,3014150.649,5314246.095
12.2,-2971801.931,3013648.852,5314207.272
12.3,-2972379.362,3013147.018,5314168.381
12.4,-2972956.755,3012645.145,5314129.422
12.5,-2973534.110,3012143.235,5314090.396
12.6,-2974111.428,3011641.286,5314051.302
12.7,-2974688.708,3011139.299,5314012.141
12.8,-2975265.950,3010637.273,5313972.912
12.9,-2975843.155,3010135.210,5313933.615
13.0,-2976420.322,3009633.108,5313894.251
13.1,-2976997.451,3009130.969,5313854.820
13.2,-2977574.543,3008628.791,5313815.321
13.3,-2978151.596,3008126.575,5313775.754
13.4,-2978728.612,3007624.321,5313736.120
13.5,-2979305.590,3007122.029,5313696.418
13.6,-2979882.531,3006619.698,5313656.649
13.7,-2980459.434,3006117.330,5313616.812
13.8,-2981036.298,3005614.923,5313576.908
13.9,-2981613.126,3005112.479,5313536.936
14.0,-2982189.915,3004609.996,5313496.897
14.1,-2982766.666,3004107.475,5313456.790
14.2,-2983343.380,3003604.916,5313416.615
14.3,-2983920.056,3003102.319,5313376.373
14.4,-2984496.694,3002599.684,5313336.064
14.5,-2985073.294,3002097.011,5313295.687
14.6,-2985649.857,3001594.300,5313255.242
14.7,-2986226.381,3001091.551,5313214.730
14.8,-2986802.868,3000588.763,5313174.150
14.9,-2987379.317,3000085.938,5313133.503
15.0,-2987955.728,2999583.075,5313092.788
15.1,-2988532.101,2999080.174,5313052.006
15.2,-2989108.436,2998577.234,5313011.156
15.3,-2989684.734,2998074.257,5312970.239
15.4,-2990260.993,2997571.242,5312929.254
15.5,-2990837.215,2997068.188,5312888.201
15.6,-2991413.398,2996565.097,5312847.081
15.7,-2991989.544,2996061.968,5312805.894
15.8,-2992565.652,2995558.801,5312764.639
15.9,-2993141.722,2995055.595,5312723.316
16.0,-2993717.754,2994552.352,5312681.926
16.1,-2994293.748,2994049.071,5312640.469
16.2,-2994869.704,2993545.752,5312598.943
16.3,-2995445.622,2993042.395,5312557.351
16.4,-2996021.502,2992539.000,5312515.691
16.5,-2996597.344,2992035.567,5312473.963
16.6,-2997173.148,2991532.096,5312432.168
16.7,-2997748.915,2991028.587,5312390.305
16.8,-2998324.643,2990525.041,5312348.374
16.9,-2998900.333,2990021.456,5312306.377
17.0,-2999475.985,2989517.834,5312264.311
17.1,-3000051.599,2989014.173,5312222.178
17.2,-3000627.175,2988510.475,5312179.978
17.3,-3001202.714,2988006.739,5312137.710
17.4,-3001778.214,2987502.965,5312095.375
17.5,-3002353.676,2986999.153,5312052.972
17.6,-3002929.100,2986495.304,5312010.501
17.7,-3003504.485,2985991.416,5311967.963
17.8,-3004079.833,2985487.491,5311925.357
17.9,-3004655.143,2984983.527,5311882.684
18.0,-3005230.415,2984479.526,5311839.944
18.1,-3005805.648,2983975.487,5311797.136
18.2,-3006380.844,2983471.411,5311754.260
18.3,-3006956.001,2982967.296,5311711.317
18.4,-3007531.120,2982463.144,5311668.306
18.5,-3008106.202,2981958.954,5311625.228
18.6,-3008681.245,2981454.726,5311582.082
18.7,-3009256.250,2980950.460,5311538.869
18.8,-3009831.216,2980446.156,5311495.588
18.9,-3010406.145,2979941.815,5311452.240
19.0,-3010981.035,2979437.436,5311408.824
19.1,-3011555.888,2978933.019,5311365.341
19.2,-3012130.702,2978428.565,5311321.790
19.3,-3012705.478,2977924.072,5311278.172
19.4,-3013280.215,2977419.542,5311234.486
19.5,-3013854.915,2976914.974,5311190.733
19.6,-3014429.576,2976410.369,5311146.912
19.7,-3015004.199,2975905.726,5311103.024
19.8,-3015578.784,2975401.045,5311059.068
19.9,-3016153.331,2974896.326,5311015.044
20.0,-3016727.839,2974391.569,5310970.954
20.1,-3017302.310,2973886.775,5310926.795
20.2,-3017876.742,2973381.944,5310882.569
20.3,-3018451.135,2972877.074,5310838.276
20.4,-3019025.491,2972372.167,5310793.915
20.5,-3019599.808,2971867.222,5310749.487
20.6,-3020174.087,2971362.239,5310704.991
20.7,-3020748.328,2970857.219,5310660.427
